vote_2016,vote_2020,sex,race,household_income,education,state,age,vote_trump,vote_biden,not_sure,someone_else
Donald Trump,Donald Trump,female,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",AZ,68,1,0,0,0
Donald Trump,I am not sure/don't know,female,white,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",MS,72,0,0,1,0
Donald Trump,Donald Trump,female,white,"$30,000 to $34,999",Other post high school vocational training,MO,81,1,0,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$70,000 to $74,999",High school graduate,VA,18,0,1,0,0
"Did not vote, but was eligible",Donald Trump,female,black/african american/negro,"Less than $14,999",High school graduate,LA,21,1,0,0,0
Was not eligible to vote,Joe Biden,female,other asian or pacific islander,NA,High school graduate,VA,19,0,1,0,0
Donald Trump,Donald Trump,male,white,"$125,000 to $149,999",Doctorate degree,CO,34,1,0,0,0
Don't recall,I am not sure/don't know,male,black/african american/negro,"$250,000 and above",Associate Degree,TX,19,0,0,1,0
Donald Trump,Donald Trump,male,white,"$15,000 to $19,999",Doctorate degree,CA,36,1,0,0,0
Was not eligible to vote,Donald Trump,male,white,"$175,000 to $199,999",High school graduate,LA,18,1,0,0,0
Was not eligible to vote,Joe Biden,female,black/african american/negro,"Less than $14,999",High school graduate,PA,20,0,1,0,0
Donald Trump,Donald Trump,male,white,"$95,000 to $99,999",Masters degree,FL,43,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$200,000 to $249,999",Masters degree,CA,42,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",TX,63,0,1,0,0
Donald Trump,Donald Trump,male,white,"$25,000 to $29,999","Completed some college, but no degree",NV,74,1,0,0,0
Was not eligible to vote,Joe Biden,female,white,"$25,000 to $29,999","Completed some college, but no degree",FL,19,0,1,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"Less than $14,999",Doctorate degree,TX,26,0,1,0,0
Donald Trump,Donald Trump,male,white,"$40,000 to $44,999",Masters degree,WV,25,1,0,0,0
Donald Trump,Donald Trump,male,white,"$150,000 to $174,999",Masters degree,DC,40,1,0,0,0
Was not eligible to vote,Joe Biden,female,black/african american/negro,"$150,000 to $174,999",High school graduate,GA,19,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$55,000 to $59,999","Completed some college, but no degree",OH,28,0,1,0,0
Was not eligible to vote,I am not sure/don't know,female,chinese,NA,Masters degree,TX,41,0,0,1,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"Less than $14,999",Completed some high school,DC,21,0,1,0,0
Was not eligible to vote,Joe Biden,female,black/african american/negro,"$30,000 to $34,999","Completed some college, but no degree",SC,19,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$60,000 to $64,999","Completed some college, but no degree",CA,72,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$95,000 to $99,999",Masters degree,MA,73,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",MD,66,0,1,0,0
